Record Date,Program Description,Account Description,Participant Group Description,Projection Amount (in Trillions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,Participants who have not attained eligibility age,10.000,20,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,Future participants,2.600,21,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,General Fund transfers,35.500,22,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,All current and future participants,50.000,23,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 65 and over),-6.900,24,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-34.100,25,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Future participants,-9.000,26,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,All current and future participants,-50.000,27,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Eliminations,null,-35.500,28,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Present value of future expenditures in excess of future revenue (after eliminations),null,-35.500,29,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Participants who have attained eligibility age (age 65 and over),0.300,30,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Participants who have not attained eligibility age,2.000,31,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Future participants,0.900,32,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,General Fund transfers,7.700,33,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,All current and future participants,10.900,34,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 65 and over),-1.100,35,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-6.900,36,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Future participants,-2.900,37,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,All current and future participants,-10.900,38,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Eliminations,null,-7.700,39,2021,4,2021,3,09,30
2021-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Present value of future expenditures in excess of future revenue (after eliminations),null,-7.700,40,2021,4,2021,3,09,30
2021-09-30,Other,Present value of future expenditures in excess of future revenue,null,-0.100,41,2021,4,2021,3,09,30
2021-09-30,Total present value of future expenditures in excess of future revenue,Total present value of future expenditures in excess of future revenue,null,-71.000,42,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,"Revenue (e.g., contributions and dedicated taxes)",Participants who have attained eligibility age,4.700,43,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,Expenditures for scheduled future benefits,Participants who have attained eligibility age,-34.000,44,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,Present value of future expenditures in excess of future revenue,Participants who have attained eligibility age,-29.300,45,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,"Revenue (e.g., contributions and dedicated taxes)",Participants who have not attained eligibility age,62.500,46,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,Expenditures for scheduled future benefits,Participants who have not attained eligibility age,-126.800,47,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,Present value of future expenditures in excess of future revenue,Participants who have not attained eligibility age,-64.300,48,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,Total present value of future expenditures in excess of future revenue Future participants:,Closed-group,-93.600,49,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,"Revenue (e.g., contributions and dedicated taxes)",Future participants,55.800,50,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,Expenditures for scheduled future benefits,Future participants,-33.200,51,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,Present value of future revenue in excess of future expenditure,Future participants,22.600,52,2021,4,2021,3,09,30
2021-09-30,Social Insurance Summary,Total present value of future expenditures in excess of future revenue,Open-group,-71.000,53,2021,4,2021,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Revenue (Contributions and Dedicated Taxes) from,Participants who have attained eligibility age (age 62 and over),1.700,1,2020,4,2020,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Revenue (Contributions and Dedicated Taxes) from,Participants who have not attained eligibility age,35.200,2,2020,4,2020,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Revenue (Contributions and Dedicated Taxes) from,Future participants,37.000,3,2020,4,2020,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Revenue (Contributions and Dedicated Taxes) from,All current and future participants,73.900,4,2020,4,2020,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 62 and over),-18.300,5,2020,4,2020,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-59.800,6,2020,4,2020,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Expenditures for Scheduled Future Benefits for,Future participants,-15.500,7,2020,4,2020,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Expenditures for Scheduled Future Benefits for,All current and future participants,-93.600,8,2020,4,2020,3,09,30
2020-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Present value of future expenditures in excess of future revenue,null,-19.700,9,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Revenue (Contributions and Dedicated Taxes) from,Participants who have attained eligibility age (age 65 and over),0.600,10,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Revenue (Contributions and Dedicated Taxes) from,Participants who have not attained eligibility age,12.500,11,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Revenue (Contributions and Dedicated Taxes) from,Future participants,12.500,12,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Revenue (Contributions and Dedicated Taxes) from,All current and future participants,25.600,13,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 65 and over),-6.100,14,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-20.100,15,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Expenditures for Scheduled Future Benefits for,Future participants,-4.200,16,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Expenditures for Scheduled Future Benefits for,All current and future participants,-30.400,17,2020,4,2020,3,09,30
2020-09-30,Federal Hospital Insurance (Medicare Part A),Present value of future expenditures in excess of future revenue,null,-4.800,18,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,Participants who have attained eligibility age (age 65 and over),1.700,19,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,Participants who have not attained eligibility age,9.300,20,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,Future participants,2.500,21,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,General Fund transfers,33.100,22,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,All current and future participants,46.600,23,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 65 and over),-6.200,24,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-31.800,25,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Future participants,-8.600,26,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,All current and future participants,-46.600,27,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Eliminations,null,-33.100,28,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Present value of future expenditures in excess of future revenue (after eliminations),null,-33.100,29,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Participants who have attained eligibility age (age 65 and over),0.300,30,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Participants who have not attained eligibility age,2.000,31,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Future participants,0.900,32,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,General Fund transfers,7.800,33,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,All current and future participants,11.000,34,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 65 and over),-1.000,35,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-7.000,36,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Future participants,-3.000,37,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,All current and future participants,-11.000,38,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Eliminations,null,-7.800,39,2020,4,2020,3,09,30
2020-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Present value of future expenditures in excess of future revenue (after eliminations),null,-7.800,40,2020,4,2020,3,09,30
2020-09-30,Other,Present value of future expenditures in excess of future revenue,null,-0.100,41,2020,4,2020,3,09,30
2020-09-30,Total present value of future expenditures in excess of future revenue,Total present value of future expenditures in excess of future revenue,null,-65.500,42,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,"Revenue (e.g., contributions and dedicated taxes)",Participants who have attained eligibility age,4.300,43,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,Expenditures for scheduled future benefits,Participants who have attained eligibility age,-31.600,44,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,Present value of future expenditures in excess of future revenue,Participants who have attained eligibility age,-27.300,45,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,"Revenue (e.g., contributions and dedicated taxes)",Participants who have not attained eligibility age,59.000,46,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,Expenditures for scheduled future benefits,Participants who have not attained eligibility age,-118.700,47,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,Present value of future expenditures in excess of future revenue,Participants who have not attained eligibility age,-59.700,48,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,Total present value of future expenditures in excess of future revenue,Closed-group,-87.000,49,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,"Revenue (e.g., contributions and dedicated taxes)",Future participants,52.900,50,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,Expenditures for scheduled future benefits,Future participants,-31.400,51,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,Present value of future revenue in excess of future expenditure,Future participants,21.500,52,2020,4,2020,3,09,30
2020-09-30,Social Insurance Summary,Total present value of future expenditures in excess of future revenue,Open-group,-65.500,53,2020,4,2020,3,09,30
